"","x","y","order","group","region","state.name"
"1",-102.126106,21.7396010000001,1,"1.1",1,"Aguascalientes"
"2",-102.346366,21.6217490000001,2,"1.1",1,"Aguascalientes"
"3",-102.84214,21.736861,3,"1.1",1,"Aguascalientes"
"4",-102.651757,22.215919,4,"1.1",1,"Aguascalientes"
"5",-102.312576,22.4184999999999,5,"1.1",1,"Aguascalientes"
"6",-102.05001,22.2259700000001,6,"1.1",1,"Aguascalientes"
"7",-101.896157,21.890231,7,"1.1",1,"Aguascalientes"
"8",-102.126106,21.7396010000001,8,"1.1",1,"Aguascalientes"
"9",-115.215554,28.3772230000001,1,"2.1",2,"Baja California"
"10",-115.184724,28.0322240000002,2,"2.1",2,"Baja California"
"11",-115.359725,28.080833,3,"2.1",2,"Baja California"
"12",-115.215554,28.3772230000001,4,"2.1",2,"Baja California"
"13",-118.262496,29.1911120000001,1,"2.2",2,"Baja California"
"14",-118.24829,28.8911140000001,2,"2.2",2,"Baja California"
"15",-118.365837,29.080279,3,"2.2",2,"Baja California"
"16",-118.262496,29.1911120000001,4,"2.2",2,"Baja California"
"17",-113.556655,29.5514200000001,1,"2.3",2,"Baja California"
"18",-113.167228,29.2784780000001,2,"2.3",2,"Baja California"
"19",-113.116386,28.9863880000001,3,"2.3",2,"Baja California"
"20",-113.497489,29.2842440000001,4,"2.3",2,"Baja California"
"21",-113.556655,29.5514200000001,5,"2.3",2,"Baja California"
"22",-114.782516,32.622601,1,"2.4",2,"Baja California"
"23",-115.039429,32.2849130000001,2,"2.4",2,"Baja California"
"24",-115.030212,31.9572760000001,3,"2.4",2,"Baja California"
"25",-114.798736,31.8203000000001,4,"2.4",2,"Baja California"
"26",-114.890832,31.154721,5,"2.4",2,"Baja California"
"27",-114.710281,30.9094450000001,6,"2.4",2,"Baja California"
"28",-114.667465,30.1916660000001,7,"2.4",2,"Baja California"
"29",-114.388565,29.779464,8,"2.4",2,"Baja California"
"30",-113.637512,29.2836720000001,9,"2.4",2,"Baja California"
"31",-113.525169,28.8927410000001,10,"2.4",2,"Baja California"
"32",-113.385743,28.9397090000001,11,"2.4",2,"Baja California"
"33",-113.103333,28.5052790000001,12,"2.4",2,"Baja California"
"34",-112.845848,28.4402340000001,13,"2.4",2,"Baja California"
"35",-112.768058,27.879168,14,"2.4",2,"Baja California"
"36",-114.094695,27.952873,15,"2.4",2,"Baja California"
"37",-114.069251,28.5145390000001,16,"2.4",2,"Baja California"
"38",-114.966157,29.3739230000001,17,"2.4",2,"Baja California"
"39",-115.695275,29.7508330000001,18,"2.4",2,"Baja California"
"40",-116.058296,30.796416,19,"2.4",2,"Baja California"
